, Emotion, Text, Clean_text
608,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
609,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
610,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
611,puas, Pelayanan sangat baik dan memuaskan. , Pelayanan sangat baik dan memuaskan.
612,senang,senang dengan respons cepat dari tata usaha kampus. ,senang dengan respons cepat dari tata usaha kampus.
613,biasa saja, Pelayanan tata usaha kampus standar saja. , Pelayanan tata usaha kampus standar saja.
614,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
615,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
616,puas, Pelayanan sangat baik dan memuaskan. , Pelayanan sangat baik dan memuaskan.
617,senang,senang dengan respons cepat dari tata usaha kampus. ,senang dengan respons cepat dari tata usaha kampus.
618,biasa saja, Pelayanan tata usaha kampus standar saja. , Pelayanan tata usaha kampus standar saja.
619,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
620,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
621,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien. , Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
622,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya. , Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
623,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
624,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data. , Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
625,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus. , Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
626,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik. , Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
627,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus. , Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
628,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik. , Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
629,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
630,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus. , Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
631,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik. , Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
632,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
633,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
634,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
635,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus. , Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
636,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya. , Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
637,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus. , Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
638,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
639,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
640,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
641,puas, Pelayanan sangat baik dan memuaskan. , Pelayanan sangat baik dan memuaskan.
642,senang,senang dengan respons cepat dari tata usaha kampus. ,senang dengan respons cepat dari tata usaha kampus.
643,biasa saja, Pelayanan tata usaha kampus standar saja. , Pelayanan tata usaha kampus standar saja.
644,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
645,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
646,puas, Pelayanan sangat baik dan memuaskan. , Pelayanan sangat baik dan memuaskan.
647,senang,senang dengan respons cepat dari tata usaha kampus. ,senang dengan respons cepat dari tata usaha kampus.
648,biasa saja, Pelayanan tata usaha kampus standar saja. , Pelayanan tata usaha kampus standar saja.
649,kesal, Tata usaha kampus kurang respons, sangatkesal
650,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
651,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien. , Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
652,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya. , Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
653,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
654,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data. , Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
655,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus. , Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
656,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik. , Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
657,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus. , Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
658,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik. , Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
659,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
660,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus. , Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
661,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik. , Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
662,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
663,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
664,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
665,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus. , Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
666,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya. , Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
667,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus. , Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
668,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
669,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
670,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
671,puas, Pelayanan sangat baik dan memuaskan. , Pelayanan sangat baik dan memuaskan.
672,senang,senang dengan respons cepat dari tata usaha kampus. ,senang dengan respons cepat dari tata usaha kampus.
673,biasa saja, Pelayanan tata usaha kampus standar saja. , Pelayanan tata usaha kampus standar saja.
674,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
675,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
676,puas, Pelayanan sangat baik dan memuaskan. , Pelayanan sangat baik dan memuaskan.
677,senang,senang dengan respons cepat dari tata usaha kampus. ,senang dengan respons cepat dari tata usaha kampus.
678,biasa saja, Pelayanan tata usaha kampus standar saja. , Pelayanan tata usaha kampus standar saja.
679,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
680,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
681,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien. , Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
682,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya. , Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
683,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
684,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data. , Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
685,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus. , Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
686,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik. , Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
687,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus. , Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
688,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik. , Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
689,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
690,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus. , Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
691,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik. , Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
692,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
693,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
694,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
695,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus. , Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
696,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya. , Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
697,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus. , Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
698,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
699,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
700,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
701,puas, Pelayanan sangat baik dan memuaskan. , Pelayanan sangat baik dan memuaskan.
702,senang,senang dengan respons cepat dari tata usaha kampus. ,senang dengan respons cepat dari tata usaha kampus.
703,biasa saja, Pelayanan tata usaha kampus standar saja. , Pelayanan tata usaha kampus standar saja.
704,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
705,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
706,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien. , Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
707,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya. , Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
708,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
709,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data. , Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
710,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus. , Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
711,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik. , Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
712,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus. , Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
